employee_id,Role,staff_designation_category.id
MCE2014ME002,Teacher,1
MCE2015ME003,Teacher,1
MCE2017ME004,Teacher,1
MCE2019ME006,Teacher,1
MCE2021ME007,Teacher,1
MCE2023ME008,Teacher,1
MCE2022AR015,Teacher,1
MCE2018AR010,Teacher,1
MCE2010AR001,Teacher,1
MCE2019AR008,Teacher,1
MCE2018AR007,Teacher,1
MCE2019AR011,Teacher,1
MCE2021AR014,Teacher,1
MCE2018AR009,Teacher,1
MCE2015AR003,Teacher,1
MCE2022AR018,Teacher,1
MCE2015AR004,Teacher,1
MCE2022AR019,Teacher,1
MCE2009EEE001,Teacher,1
MCE2011EEE002,Teacher,1
MCE2012EEE003,Teacher,1
MCE2018EEE006,Teacher,1
MCE2006SH001,Teacher,1
MCE2009SH002,Teacher,1
MCE2009SH003,Teacher,1
MCE2011SH004,Teacher,1
MCE2011SH005,Teacher,1
MCE2011SH007,Teacher,1
MCE2012SH008,Teacher,1
MCE2018SH009,Teacher,1
MCE2020SH010,Teacher,1
MCE2021SH012,Teacher,1
MCE2022SH014,Teacher,1
MCE2017CE002,Teacher,1
MCE2013CE001,Teacher,1
MCE2023CE005,Teacher,1
MCE2024CE006,Teacher,1
MCE2014MBA002,Teacher,1
MCE2017MBA003,Teacher,1
MCE2024MBA006,Teacher,1
MCE2023MBA005,Teacher,1
MCE2024MBA007,Teacher,1
MCE2021MCA001,Teacher,1
MCE2021MCA002,Teacher,1
MCE2021MCA003,Teacher,1
MCE2022MCA004,Teacher,1
MCE2024MCA005,Teacher,1
MCE2024MCA006,Teacher,1
MCE2002EIE001,Teacher,1
MCE2013EIE002,Teacher,1
MCE2013EIE003,Teacher,1
MCE2022EIE004,Teacher,1
MCE2013CSE002,Teacher,1
MCE2016CSE003,Teacher,1
MCE2021CSE005,Teacher,1
MCE2022CSE007,Teacher,1
MCE2023CSE009,Teacher,1
MCE2024CSE012,Teacher,1
MCE2012IT001,Teacher,1
MCE2022IT002,Teacher,1
MCE2022IT003,Teacher,1
MCE2022IT005,Teacher,1
MCE2023IT006,Teacher,1
MCE2023IT007,Teacher,1
MCE2024IT010,Teacher,1
MCE2024IT011,Teacher,1
MCE2024IT013,Teacher,1
MCE2012ECE004,Teacher,1
MCE2013ECE005,Teacher,1
MCE2013ECE006,Teacher,1
MCE2013ECE007,Teacher,1
MCE2017IT001,Teacher,1
MCE2017ECE009,Teacher,1
MCE2019ECE010,Teacher,1
MCE2019ECE011,Teacher,1
MCE2023ECE012,Teacher,1
MCE2023ECE013,Teacher,1
MCE2024ECE015,Teacher,1
MCE2024ECE016,Teacher,1
MCE2024IT014,Teacher,1
MCE2024ECE014,Teacher,1
MCE2018SH018,Teacher,1
MCE2024EIE007,Teacher,1
MCE2024MBA010,Teacher,1
MCE2024MBA012,Teacher,1
MCE2024ECE018,Teacher,1
MCE2024CE007,Teacher,1
MCE2024CSE14,Teacher,1
MCE2019AR021,Teacher,1
MCE2024SH018,Teacher,1
MCE2024SH019,Teacher,1
MCE2024SH021,Teacher,1
